0,0.472633153,0.5,TRUE,18,,
1,0.522134681,0.504333333,TRUE,19,,-0.109381072
2,0.570881317,0.509,TRUE,23,,
3,0.618586895,0.5145,TRUE,26,,
4,0.663846546,0.520166667,TRUE,28,,
5,0.705403986,0.526,TRUE,33,,
6,0.742937195,0.5325,TRUE,34,,
7,0.777717715,0.540333333,TRUE,35,,
8,0.810281931,0.548166667,TRUE,39,,
9,0.840207022,0.556666667,TRUE,47,,
10,0.868067708,0.566,TRUE,47,,
11,0.892244097,0.575833333,TRUE,51,,
12,0.914595829,0.585833333,TRUE,56,,
13,0.935846109,0.595833333,TRUE,59,,
14,0.95560691,0.605833333,TRUE,60,,
15,0.971415022,0.615833333,TRUE,60,,
16,0.982248355,0.625833333,TRUE,60,,
17,0.992359501,0.635833333,TRUE,60,,
18,0.997465423,0.645833333,TRUE,60,,
19,0.99976564,0.655833333,TRUE,60,,
20,1,0.665833333,TRUE,60,,
21,1,0.675833333,TRUE,60,,
22,1,0.685833333,TRUE,60,,
23,1,0.695833333,TRUE,60,,
24,1,0.705833333,TRUE,60,,
25,1,0.715833333,TRUE,60,,
26,1,0.725833333,TRUE,60,,
27,1,0.735833333,TRUE,60,,
28,1,0.745833333,TRUE,60,,
29,1,0.755833333,TRUE,60,,
30,1,0.765833333,FALSE,60,,
31,0.98,0.775833333,FALSE,60,,
32,0.96,0.785833333,FALSE,60,,
33,0.94,0.795833333,FALSE,60,,
34,0.92,0.805833333,FALSE,60,,
35,0.9,0.815833333,FALSE,60,,
36,0.88,0.825833333,FALSE,60,,
37,0.86,0.835833333,FALSE,60,,
38,0.84,0.845833333,FALSE,60,,
39,0.82,0.855833333,FALSE,60,,
40,0.8,0.865833333,FALSE,60,,
41,0.78,0.875833333,FALSE,60,,
42,0.76,0.885833333,FALSE,60,,
43,0.74,0.895833333,FALSE,60,,
44,0.72,0.905833333,FALSE,60,,
45,0.7,0.915833333,FALSE,0,,
46,0.68,0.925833333,FALSE,0,,
47,0.66,0.935833333,FALSE,0,,
48,0.64,0.945833333,FALSE,0,,
49,0.62,0.955833333,FALSE,0,,
50,0.6,0.955833333,FALSE,0,,
51,0.58,0.955833333,FALSE,0,,
52,0.56,0.955833333,FALSE,0,,
53,0.54,0.955833333,FALSE,0,,
54,0.52,0.955833333,FALSE,0,,
55,0.5,0.955833333,FALSE,0,,
